Prompt,Expected Answer
"tell me the material codes for the following GTH+HRL compressor spares 
1. THERMOWELL
2. Repair kit BALL VALVE
3. Pressure Regulator 
4. Gasket for Orifice plate
5. ADAPTER FOR MAIN BEARING TEMPERATURE SENSOR 
6. ECU
7. 800G Accessory
8. Control Logix Controller
","following are the material codes for GTH+HRL compressor spares
1. THERMOWELL: 50055315
2. Repair kit BALL VALVE: 50062884
3. Pressure Regulator: 50062877 
4. Gasket for Orifice plate: 50062898
5. ADAPTER FOR MAIN BEARING TEMPERATURE SENSOR: 50062982
6. ECU: 50058907
7. 800G Accessory: 50050589
8. Control Logix Controller: 50063029
"
"tell me the Unit Price (Including Freight & Custom Charges @ 15%) for the following GTH+HRL compressor spares 
1. THERMOWELL
2. Repair kit BALL VALVE
3. Pressure Regulator 
4. Gasket for Orifice plate
5. ADAPTER FOR MAIN BEARING TEMPERATURE SENSOR 
6. ECU
7. 800G Accessory
8. Control Logix Controller
","tell me the Unit Price (Including Freight & Custom Charges @ 15%) for the following GTH+HRL compressor spares 
1. THERMOWELL: $78.34 
2. Repair kit BALL VALVE: $429.62 
3. Pressure Regulator: $508.85 
4. Gasket for Orifice plate: $24.82 
5. ADAPTER FOR MAIN BEARING TEMPERATURE SENSOR: $122.66 
6. ECU: $12,504.04 
7. 800G Accessory: $136.08 
8. Control Logix Controller: $10,165.23 

"
What is the unit price of the spark plug sleeve seat resurfacing tool for the 7044GSI engine?,"The unit price is USD 2,362.11."
How many units of the seal removal tool are required for 4 engines over 2 years?,1 unit is required for 4 engines over 2 years.
What is the final price including customs and Allied chgs for the valve stem seal installer in Technical Evaluation - GTH Compression Package Spares,The final price is USD 670.54.
What is the freight charge for the water pump repair kit for the VGF H24SE?,The freight charge is USD 66.06.
What is the final price including customs for the VGF-GSI GSID gasket kit?,"The final price is USD 1,141.29."
What is the delivery time for the single cylinder gasket kit for VGF SE?,The delivery time is 06–10 weeks.
How much does the valve stem seal installer tool cost including all charges?,The final price including customs is USD 916.73.
What is the total price before customs for the seal removal tool for VGF H24SE?,The total price is USD 109.06.
How many main bearing install tools are required for 2 engines in Technical Evaluation - GTH Compression Package Spares?,1 tool is required for 2 engines.
"what are the details for VGF hand tool kit like its prices, delivery time, part number, material codes, etc as stated in the gencom cost working","following are the details for the VGF hand toolkit mentioned in the cost working of gencom:
1. part number: 472078
2. material codes: 40000408
3. unit price:  $9,101.40 
4. delivery time: 08-10 working weeks 
5. freight charges: 52.5
6. proce with fresight charges:  $9,153.90 
7. price including customs and allied chgs: 10526.985"
What is the repair kit specification for valve tag CMF II SDV-2?,"Repair kit, Ball Valve, Size: 10"" 600LB, Make: Star Line, Serial: JB-2613, Model: Type 100-NGV-G, Body Material: 316, Trim: F-51, Seat: NYL / FKM, including Seat Spring."
Which valve component is available for tag CMF II SDV-2 apart from the repair kit?,"Ball (Size: 10"" 600LB, Make: Star Line, Serial: JB-2613) and Set of Seats."
"Which repair kit is used for BDV-0909, BDV-0809, BDV-0709, BDV-0609?","Repair kit, Ball Valve, Size: 2"" 900LB, Make: Samson, Body: A182 F316/316L, Trim: A182 F316/L with DEVLON, including Seat Spring."
What is the disc specification for Butterfly Valve XV-0910?,"Disc, Butterfly Valve, Size: 6"" 600LB, Make: EMERSON / VANESSA, Serial: 6020/02846-002-001, Model: V30KS-0150R3A314A3-CDC40SVY1G01B, Body Material: A216-WCC, Trim: Disc WCC/LCC/GP280GH, Stem: UNS S41000, Seat: HF, Temperature: 426°C."
"Which valves are covered under the EMERSON / VANESSA 6"" 900LB Butterfly Valve spares?","Tags: XV-0605, XV-0606, XV-0607, XV-0705, XV-0706, XV-0707, XV-0805, XV-0806, XV-0807, XV-0905, XV-0906, XV-0907."
"What are the serial numbers linked to SDV-2101, SDV-1816, and SDV-1216?","8364/20/32/1, 8364/20/28/1, 8364/20/15/1."
What issue was identified in Combustion Air Blower BL-8501-101?,"A maximum vibration of 3.00 mm/sec RMS was observed in the vertical direction at the motor DE side with a dominant peak at 1X, indicating a structural problem. Bearing fault frequencies were also observed at the DE side bearing. Recommendation: Lubricate motor DE side bearing and follow drain plug greasing procedure."
What was the vibration status of Treated Gas Cooler AC-8501-100A?,Maximum vibration amplitude of 2.7 mm/sec at motor DE horizontally. Overall vibration has dropped compared to the previous inspection. Recommendation: Trend under observation
What abnormality was detected in Treated Gas Cooler AC-8502-100B?,Vibration amplitude of 3.0 mm/sec RMS observed radially at Motor NDE. Recommendation: Tight holding down nuts and bolts and share feedback.
What was the condition of Amine Circulation Pump P-8501-121A?,"Maximum vibration amplitudes of 5.5 and 5 mm/sec at Motor NDE and DE bearings, indicating structural vibration. Recommendation: Tighten all holding down nuts and bolts with equal torque. Follow greasing drain plug procedure."
"What problem was found in Booster Fan FAN-1800A (Tipu, Waukesha Engine-1100A)?",Strong impacting with multiple harmonics at bearings on 1st pulley. Sub-synchronous peaks indicated belt looseness. Recommendation: Inspect belt for looseness or damage; trend baseline data required.
What issue was observed in Instrument Air Compressor C-0901A?,"At motor DE bearing, 2.8 G’s observed in PeakVue© spectra, with maximum 5.2 mm/sec RMS at compressor DE. Abnormal sound also detected. Recommendation: Lubricate both motor bearings, maintain oil level, increase inspection frequency, and follow drain plug greasing procedure."
